,axis-0,axis-1,axis-2,R,G,B,label,labels
0,10.0,499.0,35.0,0.6909195426866009,0.1568845650926694,0.1521958922207296,TP,
1,18.0,473.0,132.0,0.6193909549404175,0.2201724569679083,0.1604365880916742,TP,
2,15.0,444.0,102.0,0.2888655325726403,0.5827860979992534,0.1283483694281064,TP,
3,20.0,484.0,35.0,0.2770815010646825,0.1403453210518657,0.5825731778834518,TP,
4,10.0,480.0,135.0,0.0638085209672479,0.351557759971928,0.5846337190608241,TP,
5,5.0,185.0,104.0,0.4836230266458599,0.2329382461805202,0.2834387271736198,FP,background
6,18.0,426.0,209.0,0.0497345666240256,0.355352651948732,0.5949127814272425,TP,
7,22.0,301.0,163.0,0.6278634045731799,0.2222640337973636,0.1498725616294563,FP,glia_unsure
8,9.0,300.0,63.0,0.3291139826733948,0.5518544254103956,0.1190315919162093,FP,glia
9,15.0,276.0,38.0,0.261034925534077,0.3067980236910149,0.4321670507749081,FP,black cell
10,19.0,401.0,150.0,0.6552015067884635,0.2009356989600862,0.1438627942514504,FP,glia
11,20.0,162.0,30.0,0.2217630754050322,0.4167948919983103,0.3614420325966575,FP,black cell
12,5.0,416.0,12.0,0.0957424756056926,0.3527594431265124,0.5514980812677948,FP,background_unsure
13,13.0,236.0,154.0,0.3606894851475929,0.3122606332679128,0.3270498815844941,FP,background
14,13.0,212.0,40.0,0.2111119334654975,0.3472735642313451,0.4416145023031575,FP,black cell
15,12.0,191.0,173.0,0.37595521266777,0.3204871681935963,0.3035576191386338,FP,background
16,4.0,45.0,44.0,0.6853451306510079,0.1894549654973632,0.1251999038516288,TP,
17,10.0,15.0,152.0,0.356628287504471,0.4580831161069451,0.1852885963885839,TP,
18,8.0,96.0,89.0,0.2568659159699151,0.1710417448694494,0.5720923391606355,TP,
19,12.0,120.0,50.0,0.7345923590656314,0.1788267309037185,0.08658091003065,FP,glia
20,13.0,62.0,154.0,0.2256421014528494,0.3486060301212866,0.425751868425864,FP,black cell
21,8.0,74.0,76.0,0.2393865761166421,0.1937278205433894,0.5668856033399684,TP,
22,20.0,135.0,39.0,0.3334173758991443,0.3375339260582755,0.3290486980425803,FP,background
23,10.0,297.0,254.0,0.4529913142506404,0.4419436079961845,0.105065077753175,TP,
24,20.0,453.0,238.0,0.6724500159032607,0.2013985354329694,0.1261514486637698,TP,
25,21.0,196.0,437.0,0.112052793383446,0.7015540569160283,0.1863931497005254,TP,
26,7.0,379.0,448.0,0.0382559121149955,0.1496279774112893,0.812116110473715,TP,
27,14.0,481.0,286.0,0.6976449663325731,0.1715198011552442,0.1308352325121825,TP,
28,20.0,208.0,276.0,0.6515314032544266,0.1890603063240098,0.1594082904215635,TP,
29,21.0,355.0,389.0,0.6176419565332376,0.1887707639697708,0.1935872794969914,TP,
30,6.0,205.0,304.0,0.1777428288579563,0.1557052883239974,0.6665518828180462,TP,
31,20.0,180.0,404.0,0.5064350818798471,0.2151097355747614,0.2784551825453915,TP,
32,18.0,413.0,256.0,0.3226338395206143,0.521508038878116,0.1558581216012697,TP,
33,15.0,162.0,374.0,0.5490240438395475,0.2139308012546587,0.2370451549057936,TP,
34,8.0,323.0,383.0,0.1007352499743645,0.7311812263577007,0.1680835236679346,TP,
35,21.0,496.0,453.0,0.59196770702577,0.2072639193416509,0.2007683736325791,TP,
36,4.0,355.0,249.0,0.1094554691882804,0.7252067302893338,0.1653378005223856,TP,
37,19.0,278.0,414.0,0.3145675369946034,0.5328099070096886,0.1526225559957079,TP,
38,4.0,232.0,268.0,0.084434377316911,0.7786567187515182,0.1369089039315709,TP,
39,8.0,170.0,416.0,0.3876983729720603,0.4760056988329007,0.136295928195039,TP,
40,11.0,192.0,448.0,0.2991461797306294,0.5154704203828704,0.1853833998865,TP,
41,18.0,222.0,403.0,0.6531342355421134,0.207980645689909,0.1388851187679776,TP,
42,14.0,402.0,431.0,0.310853825429315,0.4958623410969514,0.1932838334737336,TP,
43,4.0,387.0,383.0,0.2853798052525438,0.5185223061571863,0.1960978885902697,TP,
44,21.0,312.0,323.0,0.6338387850972688,0.2172506174413181,0.1489105974614131,FP,glia
45,16.0,131.0,497.0,0.3700961995433519,0.493985638722286,0.1359181617343618,TP,
46,19.0,260.0,490.0,0.2377274392080988,0.3708488388094996,0.3914237219824016,FP,black cell
47,21.0,305.0,389.0,0.6042588888756506,0.2374506591610289,0.1582904519633204,FP,glia
48,5.0,467.0,333.0,0.2571962582816209,0.5634641616019025,0.1793395801164765,FP,glia_unsure
49,15.0,367.0,274.0,0.2188633545774629,0.3364175582115342,0.4447190872110029,FP,black cell
50,13.0,493.0,407.0,0.6448591526623776,0.1829203786747136,0.1722204686629087,FP,glia
51,10.0,196.0,239.0,0.6120500052816665,0.236840064482937,0.1511099302353964,FP,glia
52,8.0,103.0,394.0,0.4674829476694591,0.4404375514631888,0.0920795008673519,TP,
53,5.0,81.0,226.0,0.6848562859267873,0.1909222836445361,0.1242214304286767,TP,
54,19.0,38.0,462.0,0.6867956702678063,0.1712599544804187,0.141944375251775,TP,
55,6.0,64.0,255.0,0.7107341584867779,0.1716961211722404,0.1175697203409817,TP,
56,20.0,23.0,270.0,0.3401333191965069,0.4394152177887729,0.22045146301472,TP,
57,22.0,49.0,323.0,0.0599521498730104,0.1985738837270713,0.741473966399918,TP,
58,13.0,79.0,315.0,0.0490481011959887,0.1625838284843629,0.7883680703196483,FP,glia_unsure
59,12.0,22.978528951645345,267.6750942035437,0.3942884949766841,0.4602954127933635,0.1454160922299523,FN,
60,9.0,274.5679416156688,294.09034814826447,0.6120500052816665,0.236840064482937,0.1511099302353964,FN,
61,10.0,327.2736845094737,158.9062932717072,0.6278634045731799,0.2222640337973636,0.1498725616294563,FN,
