,axis-0,axis-1,axis-2,R,G,B,label,labels
0,9.0,491.0,270.0,0.707411222237459,0.1825348767103384,0.1100539010522025,TP,
1,10.0,168.0,222.0,0.7222997000193058,0.1636678146597701,0.114032485320924,TP,
2,12.0,224.0,259.0,0.4080876064044415,0.4634384012835152,0.1284739923120433,TP,
3,17.0,191.0,25.0,0.6897776956051797,0.1738583441839855,0.1363639602108348,TP,
4,6.0,413.0,186.0,0.4013275573159375,0.4559912479416581,0.1426811947424043,TP,
5,5.0,317.0,207.0,0.6024091597835832,0.224597053834549,0.1729937863818676,TP,
6,20.0,383.0,258.0,0.3695881528369216,0.5086808122629307,0.1217310349001476,TP,
7,7.0,487.0,215.0,0.2809581639061808,0.195074857101775,0.5239669789920443,TP,
8,17.0,451.0,91.0,0.1219291809655774,0.7201400482561423,0.1579307707782802,TP,
9,20.0,208.0,170.0,0.602561540970598,0.1912713359309862,0.2061671230984157,TP,
10,6.0,278.0,156.0,0.2666421673636249,0.1647263335595458,0.5686314990768292,TP,
11,19.0,291.0,61.0,0.2319358645784475,0.165898490782454,0.6021656446390984,TP,
12,13.0,334.0,66.0,0.3472223016031479,0.4811499450485741,0.1716277533482779,TP,
13,11.0,169.0,105.0,0.3725915689073241,0.4522063015955256,0.1752021294971501,TP,
14,9.0,204.0,51.0,0.572583046812708,0.2113644570665472,0.2160524961207446,TP,
15,16.0,268.0,120.0,0.3614929255800381,0.4613248398465069,0.1771822345734549,TP,
16,5.0,446.0,78.0,0.685143698421852,0.1815702778622109,0.133286023715937,FP,glia
17,19.0,178.0,168.0,0.2037406724221205,0.1403417455737048,0.6559175820041747,TP,
18,21.0,468.0,58.0,0.3474411399782376,0.3208410438128887,0.3317178162088736,FP,background
19,11.0,126.0,288.0,0.3239497592018124,0.5429633756203526,0.133086865177835,TP,
20,13.0,113.0,163.0,0.2413657782325803,0.3161484494003013,0.4424857723671184,FP,black cell
21,10.0,117.0,73.0,0.721224871804051,0.153049105229203,0.125726022966746,FP,glia
22,18.0,136.0,109.0,0.3646032162892559,0.3129352099009398,0.3224615738098042,FP,background
23,16.0,285.0,232.0,0.3389336537167323,0.3471131996822524,0.3139531466010152,FP,background
24,15.0,433.0,199.0,0.1042023658551716,0.4264535084368507,0.4693441257079776,FP,glia
25,18.0,440.0,423.0,0.1708672639909158,0.2561343176849213,0.5729984183241629,TP,
26,18.0,449.0,378.0,0.4068894196551852,0.3839669872430783,0.2091435931017365,TP,
27,17.0,416.0,493.0,0.6964020998166291,0.1828486829845501,0.1207492171988206,TP,
28,13.0,374.0,363.0,0.7278572206162655,0.1706966753336811,0.1014461040500532,TP,
29,7.0,356.0,494.0,0.7033369300100535,0.1636764099300596,0.1329866600598869,TP,
30,12.0,347.0,363.0,0.0357567843224749,0.1482639632266856,0.8159792524508394,TP,
31,11.0,380.0,310.0,0.5714121126861079,0.2168814328124404,0.2117064545014517,TP,
32,9.0,140.0,455.0,0.0603814082318683,0.3702401729005895,0.5693784188675424,TP,
33,6.0,380.0,453.0,0.2757732817793111,0.1646014696784447,0.5596252485422443,TP,
34,13.0,233.0,473.0,0.4108331616437125,0.4739576844387535,0.115209153917534,TP,
35,7.0,326.0,392.0,0.2514154029581422,0.161371708389846,0.5872128886520119,TP,
36,4.0,326.0,344.0,0.0571056545412354,0.3646364178970998,0.5782579275616648,TP,
37,17.0,464.0,344.0,0.2616796367053657,0.192380485304927,0.5459398779897072,TP,
38,5.0,159.0,304.0,0.6761342794974555,0.1864039273069174,0.137461793195627,TP,
39,15.0,378.0,491.0,0.460636882127178,0.3970611966764908,0.1423019211963311,TP,
40,11.0,408.0,408.0,0.3602851782601776,0.5023755093492718,0.1373393123905505,TP,
41,16.0,376.0,465.0,0.4093931206809424,0.443326194501456,0.1472806848176016,TP,
42,13.0,159.0,499.0,0.0703582862781602,0.3936620926902786,0.5359796210315609,TP,
43,5.0,446.0,341.0,0.6134904534477219,0.2153962805221306,0.1711132660301473,TP,
44,19.0,129.0,419.0,0.0595222378116804,0.3675247133884352,0.5729530487998845,TP,
45,18.0,173.0,380.0,0.5528367151590511,0.2358290366736421,0.2113342481673066,TP,
46,17.0,410.0,424.0,0.3784788756207168,0.459143505316108,0.1623776190631752,TP,
47,7.0,463.0,388.0,0.518197604418209,0.2365239190799013,0.2452784765018897,TP,
48,5.0,147.0,492.0,0.5087354073460114,0.2350362541540668,0.2562283384999215,TP,
49,15.0,276.0,330.0,0.1420887048690281,0.1569629313223424,0.7009483638086296,TP,
50,5.0,381.0,356.0,0.290029683849647,0.5372278616041568,0.172742454546196,TP,
51,21.0,207.0,461.0,0.3713529800903919,0.4255690674889792,0.2030779524206288,TP,
52,21.0,143.0,439.0,0.2115129163844555,0.1589840260565884,0.6295030575589561,TP,
53,22.0,12.0,250.0,0.4018016832849268,0.4738230832479611,0.1243752334671119,TP,
54,6.0,84.0,120.0,0.679549110528203,0.1723299315681992,0.1481209579035977,TP,
55,10.0,61.0,71.0,0.3760081496728768,0.504303577415116,0.1196882729120071,TP,
56,14.0,47.0,186.0,0.361207728517472,0.496439653935888,0.14235261754664,TP,
57,8.0,81.0,163.0,0.3917399696771189,0.4733659662000168,0.1348940641228641,TP,
58,12.0,30.0,15.0,0.3213790175090324,0.5382838453225497,0.1403371371684177,FP,background_unsure
59,4.0,70.0,35.0,0.3221295242513031,0.5469181312673592,0.1309523444813377,TP,
60,13.0,45.0,218.0,0.153472801159537,0.176056637581835,0.6704705612586279,FP,background
61,13.0,15.0,311.0,0.0957216147337446,0.7508900811851382,0.1533883040811169,TP,
62,21.0,34.0,493.0,0.6639722422473736,0.1675118602924375,0.1685158974601888,FP,glia
63,7.0,409.3111382054525,429.9612585982732,0.329477918852984,0.4773276011150572,0.1931944800319586,FN,
64,14.0,439.4385856739666,420.430047699616,0.1042023658551716,0.4264535084368507,0.4693441257079776,FN,
