,axis-0,axis-1,axis-2,R,G,B,label,labels
0,4.0,38.0,261.0,0.6023025836332457,0.1895114653840322,0.2081859509827219,TP,
1,10.0,155.0,371.0,0.6070184781842934,0.2203894057932565,0.1725921160224499,TP,
2,20.0,33.0,302.0,0.6412961225469588,0.2020466116259578,0.1566572658270834,TP,
3,12.0,278.0,216.0,0.6308124533609609,0.18483955913868,0.184347987500359,TP,
4,13.0,82.0,445.0,0.6431758387176817,0.2025419486379353,0.154282212644383,TP,
5,21.0,282.0,349.0,0.2841864722583439,0.1885733582693479,0.5272401694723081,TP,
6,22.0,220.0,159.0,0.6403260154575334,0.1738787064227875,0.1857952781196789,TP,
7,11.0,116.0,232.0,0.4988789423721381,0.1880699503273914,0.3130511073004705,TP,
8,20.0,37.0,344.0,0.5375026451299996,0.2256360648593404,0.23686129001066,TP,
9,22.0,282.0,182.0,0.0522915844280561,0.1615815496031104,0.7861268659688334,TP,
10,5.0,36.0,329.0,0.2758741718207668,0.5533863082442552,0.1707395199349781,TP,
11,22.0,133.0,471.0,0.5879818553721615,0.187391669038531,0.2246264755893074,TP,
12,17.0,105.0,279.0,0.0702192358535253,0.354771730493467,0.5750090336530076,TP,
13,9.0,52.0,470.0,0.5737008544757546,0.1848564204427869,0.2414427250814584,TP,
14,20.0,192.0,222.0,0.2461680760663822,0.1629444218794705,0.5908875020541473,TP,
15,6.0,217.0,235.0,0.3295698348814179,0.4628104163831379,0.207619748735444,TP,
16,14.0,182.0,255.0,0.0597099497868713,0.3490524415875264,0.591237608625602,TP,
17,7.0,125.0,345.0,0.1088720631120964,0.7100186589937706,0.1811092778941329,TP,
18,11.0,22.0,356.0,0.0753120297882383,0.3665456576056447,0.5581423126061169,TP,
19,22.0,266.0,408.0,0.2352732762737696,0.1822724142226659,0.5824543095035645,TP,
20,9.0,165.0,332.0,0.2938420989915437,0.5044189488282795,0.2017389521801766,TP,
21,13.0,51.0,339.0,0.4841708088701136,0.2585077181194683,0.257321473010418,TP,
22,15.0,255.0,245.0,0.0633679873181381,0.378431519720482,0.55820049296138,TP,
23,10.0,107.0,310.0,0.0586373704094131,0.4017212023848779,0.539641427205709,TP,
24,21.0,163.0,211.0,0.261480382089409,0.5230363095275229,0.215483308383068,TP,
25,19.0,149.0,297.0,0.3528151164348093,0.4743129886164349,0.1728718949487556,TP,
26,4.0,279.0,247.0,0.3543020470052097,0.4411454222910002,0.2045525307037901,TP,
27,15.0,196.0,334.0,0.3191910191933844,0.5352978261782355,0.1455111546283801,glia,glia
28,18.0,241.0,209.0,0.0715598580126921,0.396219061295736,0.5322210806915719,TP,
29,13.0,149.0,435.0,0.4049566071538932,0.4498209735289633,0.1452224193171434,glia,glia
30,10.0,19.0,210.0,0.4019580301129196,0.4461791931445276,0.1518627767425528,glia,glia
31,15.0,148.0,386.0,0.4623254793301795,0.2663974701685763,0.271277050501244,TP,
32,12.0,283.0,316.0,0.3833919746396989,0.4728721400145002,0.143735885345801,glia,glia
33,21.0,105.0,352.0,0.6323746777824489,0.184665845328417,0.1829594768891337,glia,glia
34,5.0,84.0,158.0,0.3680753843258785,0.2715839747600864,0.3603406409140351,TP,
35,4.0,235.0,69.0,0.064587122996603,0.3976141860159843,0.5377986909874127,TP,
36,15.0,52.0,127.0,0.2007919274636945,0.1778123713280364,0.6213957012082689,TP,
37,12.0,255.0,59.0,0.2238655161731796,0.1525667208876151,0.6235677629392052,TP,
38,13.0,219.0,135.0,0.6556423250309681,0.1642491063309226,0.1801085686381093,glia,glia
39,18.0,84.0,92.0,0.0921735882447776,0.7723819378979938,0.1354444738572286,TP,
40,10.0,285.0,24.0,0.5770866712247763,0.2020905368182297,0.220822791956994,TP,
41,9.0,169.0,23.0,0.6551277877652333,0.1858977466682215,0.1589744655665452,glia,glia
42,19.0,45.0,65.0,0.339601546411664,0.3766925798846782,0.2837058737036576,background,background
43,11.0,64.0,51.0,0.3116402952893384,0.5495243371050046,0.1388353676056569,background_unsure,background_unsure
44,21.0,289.0,100.0,0.6630575117334013,0.1827319648450086,0.1542105234215901,glia,glia
45,22.0,177.0,23.0,0.344145637950116,0.3307950795738195,0.3250592824760646,background,background
46,12.0,191.0,118.0,0.3898296968849464,0.3216061186689924,0.2885641844460612,background,background
47,10.0,454.0,155.0,0.0698334123465601,0.3863281973768304,0.5438383902766094,TP,
48,10.0,377.0,83.0,0.0945276385538526,0.6972027037238643,0.208269657722283,TP,
49,19.0,387.0,137.0,0.2787165049075959,0.5259873340716419,0.1952961610207623,TP,
50,21.0,407.0,91.0,0.058203166418998,0.3579611175328938,0.5838357160481081,TP,
51,20.0,431.0,45.0,0.1088490126296776,0.6915957702798993,0.1995552170904231,TP,
52,7.0,331.0,107.0,0.0545852595028016,0.3459003390750229,0.5995144014221753,TP,
53,12.0,399.0,107.0,0.5415671997957068,0.2348630446066854,0.2235697555976076,TP,
54,19.0,413.0,166.0,0.2163279566680987,0.1656608278487719,0.6180112154831293,TP,
55,11.0,374.0,167.0,0.6841028647760181,0.1954233731147148,0.120473762109267,glia,glia
56,10.0,472.0,95.0,0.3258625370913348,0.1618376932991327,0.5122997696095325,glia,glia
57,10.0,425.0,352.0,0.6951645573401781,0.1817016221343124,0.1231338205255094,TP,
58,8.0,446.0,259.0,0.084186839336178,0.8057099519612155,0.1101032087026064,TP,
59,10.0,496.0,412.0,0.6432235013698518,0.2244052060631228,0.1323712925670253,TP,
60,19.0,346.0,179.0,0.6313255076178773,0.17424105460395,0.1944334377781727,TP,
61,19.0,366.0,447.0,0.668479118386388,0.1792640185949588,0.1522568630186532,TP,
62,12.0,422.0,304.0,0.6791628351014224,0.1709026708065645,0.149934494092013,TP,
63,10.0,415.0,457.0,0.7040882034287764,0.167870812389126,0.1280409841820976,TP,
64,4.0,401.0,366.0,0.6785756129534392,0.1812960498040824,0.1401283372424784,TP,
65,11.0,350.0,500.0,0.3415355572774972,0.5437920316728754,0.1146724110496273,TP,
66,15.0,354.0,360.0,0.3176509814215357,0.1656892362228769,0.5166597823555875,TP,
67,8.0,355.0,339.0,0.2507960614905283,0.1606951887019684,0.5885087498075032,TP,
68,9.0,457.0,477.0,0.1160656375668874,0.7165981223434521,0.1673362400896604,TP,
69,18.0,359.0,321.0,0.7066682815983366,0.1696743625609142,0.1236573558407491,TP,
70,18.0,384.0,266.0,0.056262353706289,0.3949885434132212,0.5487491028804897,TP,
71,6.0,352.0,479.0,0.0873546369294221,0.7624721170298098,0.1501732460407681,TP,
72,11.0,328.0,186.0,0.2225955903000745,0.1889836900025918,0.5884207196973336,TP,
73,21.0,413.0,289.0,0.3520949044833832,0.1869006279701233,0.4610044675464932,TP,
74,15.0,412.0,435.0,0.2410901005407118,0.54974460671452,0.2091652927447683,TP,
75,20.0,359.0,281.0,0.0910619953567424,0.4022092629645392,0.5067287416787182,TP,
76,7.0,399.0,403.0,0.3703237171792715,0.4592224191429868,0.1704538636777416,TP,
77,18.0,480.0,473.0,0.4560193224494767,0.4347463666473737,0.1092343109031495,glia,glia
78,8.0,381.0,467.0,0.3511005483172922,0.503395850341222,0.1455036013414858,TP,
79,6.0,344.0,429.0,0.2661591976737474,0.5151587339219486,0.218682068404304,TP,
80,20.0,460.0,222.0,0.1184542762991896,0.3769483436604657,0.5045973800403447,TP,
81,11.0,470.0,367.0,0.3548937167457028,0.4636214097290416,0.1814848735252557,TP,
82,14.0,323.0,169.0,0.1895593272824909,0.2520033297856791,0.55843734293183,TP,
83,20.0,491.0,196.0,0.2123465167558601,0.1680747878793204,0.6195786953648194,background,background
84,13.0,386.0,325.0,0.6106218479561375,0.2387066576234534,0.150671494420409,TP,
85,19.0,316.0,456.0,0.2644642540514568,0.3651650193568757,0.3703707265916673,background,background
86,20.0,308.0,386.0,0.2248309796756809,0.3243533286211684,0.4508156917031505,black cell,black cell
87,22.0,298.0,437.0,0.0570214828806821,0.3431285880297612,0.5998499290895567,glia,glia
88,15.0,471.0,254.0,0.3540461627194356,0.4204331631022613,0.225520674178303,TP,
89,22.0,331.10835614977094,501.6087488433984,0.6841028647760181,0.1954233731147148,0.120473762109267,FN,
90,20.0,224.4666086207708,141.11595835829274,0.4560193224494767,0.4347463666473737,0.1092343109031495,FN,
91,6.0,471.386011587337,232.20111009572537,0.4560193224494767,0.4347463666473737,0.1092343109031495,FN,
92,15.0,36.60370904579967,318.9114651575041,0.4560193224494767,0.4347463666473737,0.1092343109031495,FN,
