,axis-0,axis-1,axis-2,R,G,B,label,labels
0,15.0,437.0,492.0,0.6995280486067311,0.1594555275656713,0.1410164238275974,TP,
1,7.0,43.0,435.0,0.6797344883022022,0.1646640162321386,0.1556014954656592,TP,
2,20.0,31.0,278.0,0.6719458143471111,0.166666731240954,0.1613874544119348,TP,
3,13.0,30.0,158.0,0.6584610144202562,0.1800928153022132,0.1614461702775306,TP,
4,17.0,43.0,209.0,0.7142010628501518,0.174114421166079,0.1116845159837691,TP,
5,13.0,23.0,296.0,0.3949371032933833,0.4753157177776205,0.1297471789289962,TP,
6,21.0,49.0,167.0,0.6812978967087668,0.1860107299030223,0.1326913733882107,TP,
7,5.0,20.0,394.0,0.6460962332481112,0.1831628057995745,0.1707409609523142,TP,
8,7.0,24.0,465.0,0.0441242369531514,0.1403477250000296,0.8155280380468188,TP,
9,9.0,51.0,358.0,0.6248701485552791,0.2028545894805057,0.172275261964215,TP,
10,13.0,24.0,444.0,0.3506241214355596,0.4714500299633638,0.1779258486010763,TP,
11,18.0,43.0,402.0,0.5879850722941375,0.1839069330347678,0.2281079946710947,TP,
12,19.0,62.0,359.0,0.122670529351274,0.7066112881062143,0.1707181825425116,TP,
13,15.0,12.0,407.0,0.3438155904973948,0.1913551732570933,0.4648292362455117,TP,
14,11.0,28.0,317.0,0.2032226673769283,0.1227975666169678,0.6739797660061039,FP,glia
15,11.0,34.0,409.0,0.3034229184670108,0.157458708592163,0.5391183729408261,TP,
16,11.0,19.0,232.0,0.2915666523103816,0.1832341023752166,0.5251992453144018,TP,
17,22.0,25.0,28.0,0.0845636627225206,0.3830772853985421,0.5323590518789371,TP,
18,16.0,66.0,56.0,0.6527146303142601,0.1974864826700374,0.1497988870157023,TP,
19,22.0,33.0,455.0,0.3263145232032001,0.4962397614691052,0.1774457153276947,TP,
20,8.0,277.0,135.0,0.706450846900191,0.1753260939339795,0.1182230591658293,TP,
21,14.0,491.0,199.0,0.7132116435150289,0.1483580384343298,0.1384303180506412,TP,
22,13.0,311.0,277.0,0.7008579749807312,0.1506161612447318,0.1485258637745368,TP,
23,16.0,202.0,333.0,0.4067505095250179,0.4693616021741357,0.1238878883008464,TP,
24,11.0,234.0,299.0,0.6788198129758228,0.1428417918381527,0.1783383951860243,TP,
25,8.0,288.0,319.0,0.6748877113213623,0.193721221581651,0.1313910670969868,TP,
26,21.0,79.0,295.0,0.4259018080417191,0.4338735665047595,0.1402246254535215,TP,
27,5.0,351.0,358.0,0.7024595378080788,0.1619960234130877,0.1355444387788336,TP,
28,19.0,386.0,314.0,0.6930699621088491,0.171120662780745,0.1358093751104059,TP,
29,5.0,344.0,283.0,0.6988483728934372,0.1639286352555439,0.1372229918510188,TP,
30,22.0,448.0,119.0,0.0599946424329806,0.1402067374513673,0.7997986201156518,TP,
31,12.0,422.0,164.0,0.6984164532011564,0.1775156315796642,0.1240679152191793,TP,
32,6.0,340.0,246.0,0.7775556248080258,0.1379668810966495,0.0844774940953246,TP,
33,16.0,490.0,137.0,0.6717933651582557,0.1720402148752431,0.1561664199665012,TP,
34,11.0,452.0,263.0,0.6781892592107135,0.1766168232530491,0.1451939175362374,TP,
35,21.0,252.0,239.0,0.4416203733654598,0.4320553014692969,0.1263243251652431,TP,
36,4.0,171.0,398.0,0.7123627099092414,0.1573422527835266,0.130295037307232,TP,
37,6.0,393.0,55.0,0.7443782655141871,0.1305922466608164,0.1250294878249963,TP,
38,22.0,329.0,290.0,0.6770352847754713,0.1811208292721716,0.1418438859523571,TP,
39,15.0,199.0,367.0,0.6733155144666264,0.1703431406152663,0.1563413449181074,TP,
40,8.0,80.0,323.0,0.4495267550731,0.4149447017027127,0.1355285432241872,TP,
41,21.0,427.0,209.0,0.3621412176897786,0.1598388641605631,0.4780199181496583,TP,
42,20.0,102.0,432.0,0.6777734024830016,0.1661389801288682,0.1560876173881302,TP,
43,19.0,367.0,274.0,0.5919685755085273,0.2039087045084504,0.204122719983022,TP,
44,15.0,116.0,153.0,0.6640015406027816,0.1806330783642255,0.1553653810329928,TP,
45,22.0,352.0,175.0,0.6293730746911802,0.1769678971324597,0.19365902817636,TP,
46,14.0,271.0,360.0,0.3828567084012872,0.4707710359648807,0.146372255633832,TP,
47,13.0,272.0,213.0,0.6916017974692981,0.1959858489831185,0.1124123535475833,TP,
48,14.0,370.0,96.0,0.1176418432499051,0.7127425691820868,0.1696155875680079,TP,
49,13.0,439.0,217.0,0.6512801607359873,0.1606562760677339,0.1880635631962788,TP,
50,17.0,160.0,284.0,0.4050220140220681,0.4637267723443744,0.1312512136335572,TP,
51,16.0,86.0,278.0,0.7266412288350441,0.1518290284183993,0.1215297427465563,TP,
52,7.0,225.0,263.0,0.0536468080472809,0.129351960985312,0.8170012309674071,TP,
53,4.0,93.0,239.0,0.2733253435259533,0.1582798351745632,0.5683948212994833,TP,
54,20.0,301.0,115.0,0.1207985332833527,0.7110081593991052,0.168193307317542,TP,
